plant,time point,dividing parent cell,parent neighbor,weighted node degree_neighbour,clustering coefficient_neighbour,information centrality_neighbour,betweenness centrality_neighbour,eigenvector centrality_neighbour,page rank_neighbour,katz centrality_neighbour,current flow betweenness centrality_neighbour,communicability betweenness centrality_neighbour,load centrality_neighbour,harmonic centrality_neighbour,size on 2 neighborhood_neighbour,estrada index on 2 neighborhood_neighbour,abs graph density on 2 neighborhood_neighbour,rel graph density on 2 neighborhood_neighbour,avg path length on 2 neighborhood_neighbour,algebraic connectivity on 2 neighborhood_neighbour,weighted node degree_difference,clustering coefficient_difference,information centrality_difference,betweenness centrality_difference,eigenvector centrality_difference,page rank_difference,katz centrality_difference,current flow betweenness centrality_difference,communicability betweenness centrality_difference,load centrality_difference,harmonic centrality_difference,size on 2 neighborhood_difference,estrada index on 2 neighborhood_difference,abs graph density on 2 neighborhood_difference,rel graph density on 2 neighborhood_difference,avg path length on 2 neighborhood_difference,algebraic connectivity on 2 neighborhood_difference
P1,0,384,484,0.1756254004604698,0.07989523683675953,0.00011043982004856037,0.07569399329271505,2.7774839182862403e-05,0.0030781251778898796,0.06258349341519916,0.06318296960079467,0.060297931323787975,0.07569399329271505,2297.411628561181,47.0,237.21655796015835,0.22380952380952382,4.476190476190476,0.06032166208253275,0.01905508806505786,0.04981568627612293,-0.005835568254009854,8.293842694231192e-06,-0.03013010728144258,-6.481443293164846e-05,0.0007833246787899294,0.0038273548156895487,0.019624498964351755,0.008008846586392164,-0.03013010728144258,-87.65364130117268,-1.0,-5.396069442073127,0.01601731601731604,0.11255411255411296,0.0002455504566929931,0.0024529858535683735
P1,0,384,592,0.19028175095886252,0.08373853869606838,0.0001102357895830413,0.049514511966007056,0.00041352787659500336,0.0032226585970753807,0.062256704605171534,0.05646626055409337,0.04715298412369405,0.049514511966007056,2232.289427540502,47.0,240.63134451865895,0.22380952380952382,4.476190476190476,0.06257370465857431,0.018185730091556152,0.06447203677451566,-0.0019922663947010005,8.089812228712128e-06,-0.05630958860815057,0.0003209386044804925,0.0009278580979754304,0.003500566005661926,0.012907789917650458,-0.005136100613701761,-0.05630958860815057,-152.77584232185154,-1.0,-1.9812828835725327,0.01601731601731604,0.11255411255411296,0.0024975930327345575,0.001583627880066666
P1,0,384,615,0.17335275900416044,0.1017220908044429,0.00010458688841844243,0.020648604990079537,7.731560255171694e-05,0.003031189947204494,0.05707280145338697,0.05028376834677623,0.028645588248402444,0.020648604990079537,2136.771876075381,44.0,219.98623238976162,0.23157894736842108,4.4,0.05976002656727904,0.01931905447386223,0.047543044819813585,0.015991285713673517,2.4409110641132543e-06,-0.0851754955840781,-1.5273669562793923e-05,0.000736389448104544,-0.0016833371461226349,0.006725297710333318,-0.023643496488993367,-0.0851754955840781,-248.2933937869725,-4.0,-22.626395012469857,0.0237867395762133,0.03636363636363704,-0.00031608505856071945,0.0027169522623727432
P1,0,384,630,0.14631619723242506,0.09134713116406576,0.0001097203618196327,0.03539760855442207,5.676047225040354e-05,0.0025813110808729374,0.05898760273102192,0.053409058907478976,0.0625106171599904,0.03539760855442207,2309.6731176097583,48.0,242.42773168427405,0.20779220779220778,4.363636363636363,0.06273904433427216,0.0172931259486653,0.0205064830480782,0.005616326073296374,7.5743844653035255e-06,-0.07042649201973555,-3.582879986410732e-05,0.0002865105817729872,0.00023146413151230866,0.009850588271036062,0.01022153242259459,-0.07042649201973555,-75.39215225259522,0.0,-0.18489571795743132,0.0,0.0,0.002662932708432403,0.0006910237371758124
P1,0,384,745,0.19912249990096656,0.06778965690209164,0.00011983483022770609,0.14166066756799464,0.0003490627313561375,0.003364871793436748,0.06867802374398523,0.0809748365301366,0.11668644798386625,0.14166066756799464,2426.2108247736246,54.0,279.95749761138853,0.1956521739130435,4.5,0.06480405890754232,0.016046731190513763,0.0733127857166197,-0.017941148188677744,1.7688852873376913e-05,0.03583656699383701,0.00025647345924162667,0.0010700712943367977,0.009921885144475617,0.03741636589369368,0.06439736324647044,0.03583656699383701,41.14555491127112,6.0,37.34487020915705,-0.012140033879164291,0.1363636363636367,0.00472794728170256,-0.0005553710209757236
P1,0,384,751,0.1559592776473483,0.13875598294119296,0.00010075718820855833,0.0,0.0001656428156245477,0.0027134583759606586,0.05153523071951713,0.0356531400828172,0.014535688927993015,0.0,2018.3549512294255,37.0,181.63620605048402,0.27205882352941174,4.352941176470588,0.058206542818960615,0.02530598346948973,0.030149563463001433,0.05302517785042357,-1.3887891457708458e-06,-0.10582410057415763,7.305354351003683e-05,0.0004186578768607084,-0.00722090787999248,-0.007905330553625717,-0.0377533958094028,-0.10582410057415763,-366.71031863292797,-11.0,-60.97642135174746,0.06426661573720396,-0.010695187165775444,-0.001869568806879142,0.008703881258000243
P1,0,369,436,0.1959368344217305,0.11608729495372626,0.00011836961222206851,0.0035116675153196494,0.0019506362743867748,0.003202995084873918,0.058025637905902504,0.06493582593956193,0.06624996528723945,0.0035116675153196494,2207.9754456429473,44.0,219.94314519430714,0.23157894736842108,4.4,0.06578031583822103,0.021389712006217663,0.00533660706936423,0.02897900723237677,-3.6115462586663015e-06,-0.10780819272031324,0.0013297439912562238,4.536155498816854e-05,-0.00539451296950582,-0.009965479258121426,-0.043172368177976844,-0.10780819272031324,-189.66060279462135,-5.0,-29.251597962945823,0.01945773524720898,-0.054545454545453786,-0.0019103234909431527,0.002860226174684972
P1,0,369,461,0.15762430681096568,0.10027439822117558,0.00011639931725334733,0.08745807946903587,0.00011888197371017395,0.0026633075513314178,0.058881694995568896,0.05718701997408745,0.07146530171231719,0.08745807946903587,2379.3977152069738,49.0,252.10172984464378,0.2121212121212121,4.454545454545454,0.0680832002554442,0.018316715283413585,-0.03297592054140058,0.013166110499826092,-5.581841227387486e-06,-0.023861780766597007,-0.000502010309420377,-0.0004943259785543316,-0.004538455879839427,-0.01771428522359591,-0.037957031752899106,-0.023861780766597007,-18.23833323059489,0.0,2.9069866873908268,0.0,0.0,0.00039256092628002504,-0.00021277054811910667
P1,0,369,587,0.19722410336517457,0.09015469979655505,0.00012149465171936025,0.1132161606939055,0.0005262973397222241,0.0032710486431004613,0.06201765687484189,0.0695251158901005,0.08820744590421775,0.1132161606939055,2364.3259433968983,45.0,228.8241249505192,0.23684210526315788,4.5,0.0649866183902165,0.022101872660756368,0.006623876012808311,0.0030464120752055623,-4.865067613745577e-07,0.0018963004582726178,-9.459494340832686e-05,0.00011341511321471187,-0.001402494000566433,-0.0053761893075828515,-0.02121488756099854,0.0018963004582726178,-33.31010504067035,-4.0,-20.370618206733752,0.024720893141945782,0.04545454545454586,-0.002704020938947685,0.003572386829223676
P1,0,369,600,0.1961396859103481,0.08671534001916173,0.00012088573115217815,0.1152178111776377,0.00020263078798424332,0.0032696501365344992,0.06338949558930469,0.07320552710941533,0.09337766067231332,0.1152178111776377,2379.4790598197546,49.0,251.40765546535005,0.2121212121212121,4.454545454545454,0.06513276774291005,0.017622685460214334,0.005539458557981852,-0.000392947702187757,-1.095427328556657e-06,0.0038979509420048186,-0.00041826149514630765,0.00011201660664874984,-3.065528610363133e-05,-0.0016957780882680268,-0.016044672792902975,0.0038979509420048186,-18.156988617814022,0.0,2.2129123080970885,0.0,0.0,-0.002557871586254132,-0.0009068003713183573
