plant,time point,cell,clustering coefficient,information centrality,page rank,katz centrality,harmonic centrality,abs graph density on 2 neighborhood,algebraic connectivity on 2 neighborhood,weighted node degree.1,clustering coefficient.1,information centrality.1,eigenvector centrality.1,page rank.1,katz centrality.1,abs graph density on 2 neighborhood.1,avg path length on 2 neighborhood.1,algebraic connectivity on 2 neighborhood.1,weighted node degree.2,clustering coefficient.2,information centrality.2,eigenvector centrality.2,page rank.2,katz centrality.2,harmonic centrality.2,abs graph density on 2 neighborhood.2,avg path length on 2 neighborhood.2,algebraic connectivity on 2 neighborhood.2,clustering coefficient.3,information centrality.3,katz centrality.3,harmonic centrality.3,abs graph density on 2 neighborhood.3,algebraic connectivity on 2 neighborhood.3
P1,0,422,0.4,0.0038037059938677655,0.0029548025338252053,0.058511566428203536,62.42705350205385,0.21904761904761907,0.6392155553694965,0.1676692950297064,0.10110940613910373,0.00011242789585460771,3.1734679969875705e-05,0.002905975416122359,0.058511566428203536,0.21904761904761907,0.06082193517260338,0.017173741974268873,1.6879557049445486,0.00949735360195353,0.0011197372061803187,2.9329595136720534e-07,0.0027685368872367136,0.058511566428203536,261.33372109302616,0.21904761904761907,0.6104183236003875,0.19685357486988847,0.1938231850622624,0.030816642291254907,0.058511566428203536,7.5837679089015655,0.21904761904761907,5.884687504834562
P1,0,428,0.5,0.0035499558125600275,0.0025452716006479107,0.05168564265383726,58.42238872238906,0.2720588235294117,0.8677883184361832,0.16177789786334218,0.14409295107740944,0.00010811790663416859,0.0006780970376111033,0.002821182189865679,0.05168564265383726,0.2720588235294117,0.05793294867721883,0.02368702557252882,1.2433615933205338,0.011756856295279932,0.0009703810372681503,2.1387486000371488e-11,0.002254287351042346,0.05168564265383726,259.20659837151095,0.2720588235294117,0.5313389114333946,0.24022589734712496,0.22492471719375606,0.027503559967849527,0.05168564265383726,7.611711135288839,0.2720588235294117,7.480116468825072
P1,0,431,0.5,0.0035895722930146664,0.0025448913796938324,0.05113766917917269,57.84973359973402,0.2916666666666667,0.9729099134769364,0.1560160503640658,0.14204816682703986,0.00010913376485565604,0.0013613465915972534,0.002682441014902267,0.05113766917917269,0.2916666666666667,0.05973266197021027,0.028179630885787225,1.1340184622324514,0.01039903132817287,0.0009721133438527805,6.661005340742743e-10,0.0018795998447568372,0.05113766917917269,268.3218058514069,0.2916666666666667,0.4838359380061346,0.2439693895109078,0.21473457650700487,0.0276214727681038,0.05113766917917269,7.713824650678692,0.2916666666666667,7.9308344261010895
P1,0,436,0.4,0.003855069455811357,0.0029392717404998327,0.0580256379059025,61.59411421911455,0.2315789473684211,0.7466579650120211,0.1959368344217305,0.11608729495372624,0.00011836961222206852,0.0019506362743867745,0.003202995084873918,0.0580256379059025,0.2315789473684211,0.06578031583822103,0.02138971200621764,1.990544466717982,0.009970112939537746,0.0011519343719718284,1.1031723563886157e-09,0.002887603485480688,0.0580256379059025,262.1262068280336,0.2315789473684211,0.5422539327715862,0.18566349090619005,0.17882788680636882,0.030939146182113318,0.0580256379059025,7.58455416640602,0.2315789473684211,5.94438722319136
P1,0,438,0.4,0.0038076220950402414,0.0029675867632202066,0.0569304093758392,60.98068043068072,0.2456140350877193,0.7737577952542327,0.1751950409184287,0.10901338497123546,0.00011353127543526382,0.0005414183870745542,0.003018518171000745,0.0569304093758392,0.2456140350877193,0.06179358807703875,0.02167179955432957,1.6019536987074063,0.009347827424800729,0.0010660033676622718,1.5608874927223113e-11,0.0027785324736269,0.0569304093758392,270.21688113548083,0.2456140350877193,0.5303997348294837,0.1948303826272118,0.184528503275054,0.03033422504219869,0.0569304093758392,7.7552912928048094,0.2456140350877193,6.207023941918019
P1,0,439,0.5,0.003561930658001836,0.002539728966081984,0.051676044029331264,57.780794205794614,0.2720588235294117,0.9154162499968936,0.13711573144090544,0.12180225371595255,0.00010350481097617736,3.848434758792847e-05,0.0026072672289529203,0.051676044029331264,0.2720588235294117,0.052760408391999566,0.023155096685852042,1.1337931705903015,0.010168964119456713,0.0009539126339040252,6.295234795211633e-12,0.002215646188198212,0.051676044029331264,267.8558105883712,0.2720588235294117,0.4676394169784862,0.2087330758183762,0.2359225275693636,0.02844991840122378,0.051676044029331264,7.354216274769469,0.2720588235294117,7.482864111931951
P1,0,441,0.4,0.0038398666604904453,0.0029722605252268434,0.056426239340001134,61.42577977578006,0.26143790849673204,0.8220144773082991,0.17756851826379574,0.1106842407930743,0.0001153829719866104,0.0005415962792554323,0.0030102968819288537,0.056426239340001134,0.26143790849673204,0.06152750339633393,0.023461976319700945,1.5176909755235832,0.009368302339375191,0.0010695702181438564,1.6636245314058852e-10,0.002504427950394052,0.056426239340001134,269.6782602313972,0.26143790849673204,0.528223115374735,0.2310148975601601,0.17746731024294127,0.030561635933332325,0.056426239340001134,7.718946382169349,0.26143790849673204,6.756229219820307
P1,0,442,0.4,0.003855478537239658,0.002954057650816866,0.05744057547496367,61.413508713508996,0.2315789473684211,0.7250508947817388,0.16192572614005124,0.10152544748448113,0.00011296950625931412,0.00014842389265313274,0.00286227539790401,0.05744057547496367,0.2315789473684211,0.06206105047549348,0.019965730429864485,1.5723268737288183,0.009078588972736541,0.001069822462016123,4.8500285991520285e-12,0.002792630859293797,0.05744057547496367,275.96523751211976,0.2315789473684211,0.5394617242512679,0.19055906096853767,0.18529047729816994,0.030724016720420175,0.05744057547496367,7.787785838812134,0.2315789473684211,6.120367095230964
P1,0,447,0.5,0.0037397033053654773,0.002510737208952489,0.05280691898298615,62.27561327561353,0.23976608187134504,0.7730725599809998,0.15930772466755425,0.13958572722336274,0.00011445348399031534,0.0002038432347331272,0.002715246687319948,0.05280691898298615,0.23976608187134504,0.0634291342874731,0.0224739500865612,1.3583730698615748,0.011437003005424246,0.0010685852126370305,7.756993499458005e-11,0.0022939491522538428,0.05280691898298615,263.8543140927613,0.23976608187134504,0.5543453127040512,0.19547667461970766,0.2176375903281224,0.02907952864727894,0.05280691898298615,7.8952284616230655,0.23976608187134504,6.245662336833818
P1,0,448,0.3333333333333333,0.0040837551384533,0.003373093489099434,0.06281774015832066,63.938225663225936,0.2121212121212121,0.6760015447065102,0.1858080070941814,0.08519637054962835,0.0001203271715998497,0.00028080239303144514,0.0031555787510973185,0.06281774015832066,0.2121212121212121,0.06713592823239414,0.019180807041634728,2.1619361101776184,0.007680068473396983,0.0011723555763634376,3.059427553002206e-11,0.003523567208956497,0.06281774015832066,274.85469697785345,0.2121212121212121,0.5774677099694691,0.16690785172965414,0.15788007513956104,0.03284839226671099,0.06281774015832066,7.892820625959362,0.2121212121212121,5.401402340890225
