Label,Value,Area (micro m^2),Center_X,Center_Y,Center_Z
6427,0,35.5511,-15.597,13.1688,7.60396
6299,0,33.5059,-6.9242,40.6851,-2.0594
6235,0,26.3659,-6.45629,60.0251,-7.01968
6491,0,49.3619,-40.325,27.2686,-3.70272
6363,0,42.2465,0.790183,14.3944,7.09974
6459,0,27.4652,24.82,8.93232,-0.195177
6331,0,36.4672,-39.5572,-13.5242,-1.56965
6267,0,43.0125,3.20394,20.4263,5.48399
6523,0,13.5058,-56.899,-8.55994,-7.68919
6395,0,38.5469,-18.4787,-33.6787,-5.16618
6407,0,47.4061,20.1726,-1.52181,2.098
6279,0,27.3508,24.5117,-18.8551,-2.83755
6343,0,29.4508,32.3362,-5.12117,-3.9473
6439,0,33.9161,-11.9921,-2.8661,8.54789
6247,0,41.6316,-40.6329,-5.71829,-0.760704
6503,0,3.57992,22.7936,47.5501,-7.78082
6375,0,40.326,24.5356,14.4559,-0.927092
6423,0,28.444,30.1062,19.7946,-6.27375
6231,0,42.5351,9.74547,-1.5675,5.63197
6487,0,31.7959,19.1945,49.9432,-6.78843
6359,0,36.3708,-30.7656,-6.63783,4.16431
6455,0,36.7945,-10.1576,-17.6482,5.02516
6263,0,47.7993,-26.0792,-25.718,-1.13188
6519,0,8.33941,-44.2662,-29.307,-7.73226
6391,0,46.6054,-22.5954,-14.7452,4.73619
6415,0,37.62,6.43818,55.8214,-4.83733
6287,0,7.47932,-9.68963,58.4404,-7.53345
6351,0,51.4898,-34.177,-8.91988,2.12649
6447,0,32.0349,26.8192,-2.68392,-0.791089
6319,0,45.937,-4.06801,30.0023,2.9448
6511,0,6.11623,28.1955,-25.1153,-7.47766
6383,1,53.1377,-24.9578,-7.6549,5.84337
6431,0,16.8658,-10.6612,-36.0523,-6.8843
6303,0,8.3048,35.2071,-12.9924,-6.89322
6367,0,38.1593,24.3856,3.97491,0.341041
6335,0,34.9104,35.5078,0.946854,-6.46516
6271,0,38.3487,2.64026,44.3145,-4.05281
6527,0,30.3493,-24.8254,-35.3741,-6.99599
6399,0,26.085,4.88928,-2.56167,6.71909


Area HeatMap results for mesh 2
Signal range: 0.733565-61.0576 micro m^2
