plant,time point,cell,area
p3 FM6 flower 2,0,44051,29.018
p3 FM6 flower 2,0,44061,31.8369
p3 FM6 flower 2,0,44069,35.399
p3 FM6 flower 2,0,44079,52.2914
p3 FM6 flower 2,1,43101,27.1418
p3 FM6 flower 2,1,43102,26.9952
p3 FM6 flower 2,1,43125,42.443
p3 FM6 flower 2,1,43200,33.9846
p3 FM6 flower 2,1,43210,30.3035
p3 FM6 flower 2,1,43218,44.8048
p3 FM6 flower 2,1,43234,29.5064
p3 FM6 flower 2,1,43235,26.9932
p3 FM6 flower 2,1,43236,25.8707
p3 FM6 flower 2,1,43245,26.6831
p3 FM6 flower 2,1,43249,27.1501
p3 FM6 flower 2,1,43255,54.423
p3 FM6 flower 2,1,43260,29.52
p3 FM6 flower 2,1,43505,33.4683
p3 FM6 flower 2,1,43506,23.3228
p3 FM6 flower 2,1,43518,41.7872
p3 FM6 flower 2,1,43521,40.4942
p3 FM6 flower 2,1,43522,38.6804
p3 FM6 flower 2,1,43534,58.4504
p3 FM6 flower 2,1,43537,28.5508
p3 FM6 flower 2,1,43581,54.0924
p3 FM6 flower 2,1,43583,52.5107
p3 FM6 flower 2,1,43587,29.4811
p3 FM6 flower 2,1,43596,21.2937
p3 FM6 flower 2,1,43597,28.7943
p3 FM6 flower 2,1,43598,34.0794
p3 FM6 flower 2,1,43599,34.7737
p3 FM6 flower 2,1,43613,22.9947
p3 FM6 flower 2,1,43614,42.0156
p3 FM6 flower 2,1,43615,19.8462
p3 FM6 flower 2,1,43624,30.8355
p3 FM6 flower 2,1,43625,27.095
p3 FM6 flower 2,1,43633,48.974
p3 FM6 flower 2,1,43634,22.7158
p3 FM6 flower 2,1,43646,34.5917
p3 FM6 flower 2,1,43647,45.6232
p3 FM6 flower 2,1,43669,25.4154
p3 FM6 flower 2,2,18208,46.6281
p3 FM6 flower 2,2,18222,37.1734
p3 FM6 flower 2,2,18500,35.679
p3 FM6 flower 2,2,18543,46.9664
p3 FM6 flower 2,2,18950,39.1755
p3 FM6 flower 2,2,19157,38.8986
p3 FM6 flower 2,2,19286,28.0742
p3 FM6 flower 2,2,19346,45.6362
p3 FM6 flower 2,2,19451,34.0709
p3 FM6 flower 2,2,19452,40.7911
p3 FM6 flower 2,2,19625,32.1238
p3 FM6 flower 2,2,19643,37.2786
p3 FM6 flower 2,2,19644,54.1112
p3 FM6 flower 2,2,19672,29.2723
p3 FM6 flower 2,2,19679,57.4559
