plant,time point,cell,weighted node degree,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,estrada index on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,weighted node degree.1,clustering coefficient.1,information centrality.1,eigenvector centrality.1,page rank.1,katz centrality.1,current flow betweenness centrality.1,communicability betweenness centrality.1,harmonic centrality.1,size on 2 neighborhood.1,estrada index on 2 neighborhood.1,abs graph density on 2 neighborhood.1,rel graph density on 2 neighborhood.1,avg path length on 2 neighborhood.1,algebraic connectivity on 2 neighborhood.1,weighted node degree.2,clustering coefficient.2,information centrality.2,betweenness centrality.2,eigenvector centrality.2,page rank.2,katz centrality.2,current flow betweenness centrality.2,communicability betweenness centrality.2,load centrality.2,harmonic centrality.2,size on 2 neighborhood.2,estrada index on 2 neighborhood.2,abs graph density on 2 neighborhood.2,rel graph density on 2 neighborhood.2,avg path length on 2 neighborhood.2,algebraic connectivity on 2 neighborhood.2,clustering coefficient.3,information centrality.3,betweenness centrality.3,eigenvector centrality.3,page rank.3,katz centrality.3,current flow betweenness centrality.3,communicability betweenness centrality.3,load centrality.3,harmonic centrality.3,size on 2 neighborhood.3,estrada index on 2 neighborhood.3,abs graph density on 2 neighborhood.3,rel graph density on 2 neighborhood.3,avg path length on 2 neighborhood.3,algebraic connectivity on 2 neighborhood.3
p3 FM6 flower 1,0,13470,5.0,0.5,0.008213268616084988,0.008559367074379695,0.09741892075703372,0.005583353079446722,0.07783659340648462,0.05090614571114757,0.0318495206366534,0.008001079881711354,37.0944805194806,35.0,172.15091589097977,0.2916666666666667,4.375,2.1083333333333334,0.9729099134769364,0.15089785887764967,0.3318163084915663,0.00018264857183510595,0.007968076971563064,0.006539871767076296,0.07783659340648462,0.06080570038954052,0.0318495206366534,1655.6629799538312,35.0,172.15091589097977,0.2916666666666667,4.375,0.048877584104132385,0.023140470397617158,1.3105357441082526,0.04161350349465583,0.002028648647604241,0.013730355665839536,0.008313388666453064,0.004687145326789153,0.07783659340648462,0.041556820964975184,0.0318495206366534,0.013730355665839536,185.20275367636418,35.0,172.15091589097977,0.2916666666666667,4.375,0.4611309771989085,0.2311792076295302,0.2323629303307598,0.06420300563638955,0.02504256794579373,0.09004891516515373,0.0050907997780198794,0.07783659340648462,0.04297273523637018,0.0318495206366534,0.02485956024262476,4.909867860799794,35.0,172.15091589097977,0.2916666666666667,4.375,17.439323333333338,8.009462154033475
p3 FM6 flower 1,0,13673,6.0,0.4,0.009065827367807807,0.06009406237147723,0.11538534153697247,0.006468166635719023,0.08666780443444416,0.08174767314716475,0.08431593527279957,0.053783000962963824,40.473412698412695,42.0,209.1722733805716,0.2456140350877193,4.421052631578949,2.304093567251462,0.7949814819885621,0.1144111817013188,0.17217813702862814,0.00017855880559200033,0.004717012869179084,0.006211778060093889,0.08666780443444416,0.08170324485266264,0.08431593527279957,2256.4889651784765,42.0,209.1722733805716,0.2456140350877193,4.421052631578949,0.04222540002490203,0.015078232243268444,2.048735320787865,0.028451493400833142,0.002268264784275077,0.04433416046319272,0.00010338571739796165,0.007485745488499687,0.08666780443444416,0.08793871016582533,0.08431593527279957,0.04433416046319272,217.33288310624002,42.0,209.1722733805716,0.2456140350877193,4.421052631578949,0.4376493019694136,0.18832681522819428,0.2092345620731175,0.07461462700612705,0.054362748371537935,0.09340495632790237,0.006894505912928724,0.08666780443444416,0.08652079219873535,0.08431593527279957,0.05551743003859939,4.915755724223675,42.0,209.1722733805716,0.2456140350877193,4.421052631578949,19.462196491228045,6.845204788892747
p3 FM6 flower 1,0,13679,8.0,0.2857142857142857,0.010081865715485656,0.21819489461396088,0.1764052457210067,0.008265432503760791,0.10530879060115364,0.14132470701326758,0.22192364391567448,0.20826225504658952,44.51269841269845,56.0,289.64672550531924,0.18666666666666668,4.48,2.546666666666667,0.5976665472013178,0.1579346011569708,0.1341962784186061,0.00020182588044836158,0.05651283157569535,0.007381178973961628,0.10530879060115364,0.1366991353646358,0.22192364391567448,2366.841197403424,56.0,289.64672550531924,0.18666666666666668,4.48,0.052014304910683,0.012830636292890496,2.4397296646079,0.021906347793235813,0.0025156711117718515,0.1272952853598015,0.0011536489147562989,0.008569244500217439,0.10530879060115364,0.16069552689279645,0.22192364391567448,0.1272952853598015,213.4448974962817,56.0,289.64672550531924,0.18666666666666668,4.48,0.5211099802772998,0.1280263337545253,0.15328137066729866,0.08314523473251041,0.09792319861258987,0.2373177098597309,0.009665281573524509,0.10530879060115364,0.16320026782045902,0.22192364391567448,0.09775483066813713,5.0871320547512475,56.0,289.64672550531924,0.18666666666666668,4.48,22.22741133333333,4.785272133775356
p3 FM6 flower 1,0,13681,6.0,0.4,0.009190827062050056,0.06961340420247154,0.1299963592517337,0.006427027413517784,0.08731677858162164,0.0837378098590497,0.09141123731636967,0.066265678499467,41.41031746031744,44.0,220.9181326108768,0.2315789473684211,4.4,2.3473684210526318,0.7042777897903443,0.1351737705901761,0.2035584925095179,0.00018899885649722583,0.013943742692078044,0.006672709984131395,0.08731677858162164,0.09112680244780616,0.09141123731636967,2134.2466413540947,44.0,220.9181326108768,0.2315789473684211,4.4,0.04761052072603512,0.014784405726472572,2.2354024371600048,0.03214805575737845,0.002327079039864975,0.05806451612903226,0.00026487061676148726,0.007795654977271026,0.08731677858162164,0.09863827402134527,0.09141123731636967,0.05806451612903226,212.6457537159453,44.0,220.9181326108768,0.2315789473684211,4.4,0.4763332723025194,0.14659808796718848,0.20533162040858768,0.07431557007235204,0.10006551762706263,0.1266078709241889,0.006463639718879033,0.08731677858162164,0.08111901145130024,0.09141123731636967,0.09902402984560243,5.182497601579361,44.0,220.9181326108768,0.2315789473684211,4.4,20.26606894736839,6.085010065215203
p3 FM6 flower 1,0,13686,5.0,0.5,0.008679993654657782,0.02382375125224186,0.11855641389158432,0.0054853475437091756,0.07961367769993948,0.06297810971997796,0.05620250148178439,0.02585878294986864,40.68650793650791,39.0,193.372246711022,0.2549019607843137,4.333333333333333,2.2287581699346406,0.8027060337807951,0.12645024196723442,0.28122529766694754,0.0001844605803854072,0.01679030078074837,0.006035349905421625,0.07961367769993948,0.07178362185693568,0.05620250148178439,1972.5137607326392,39.0,193.372246711022,0.2549019607843137,4.333333333333333,0.046967139685546916,0.016885970293878845,0.9961429370579186,0.03962175103622245,0.0020012949618498327,0.0435070306038048,0.0008765468753658665,0.003789193422449933,0.07961367769993948,0.05229867692386355,0.05620250148178439,0.0435070306038048,205.9541708248734,39.0,193.372246711022,0.2549019607843137,4.333333333333333,0.4614424718845842,0.1651265206115619,0.25242754474263285,0.06982909032334435,0.04594922998148805,0.14445101254201315,0.00522282510860351,0.07961367769993948,0.06016960379918325,0.05620250148178439,0.045871243451888616,5.039298343973528,39.0,193.372246711022,0.2549019607843137,4.333333333333333,19.42820326797386,6.79268798739168
p3 FM6 flower 1,0,13688,6.0,0.4,0.009103129581115556,0.048963656553328114,0.11700160845467142,0.006456227759541489,0.08622833861783025,0.08094639607618041,0.07539035841864834,0.05025490339833792,40.42896825396826,42.0,207.98159432184207,0.2456140350877193,4.421052631578949,2.3157894736842106,0.8525697663022473,0.11695158444968184,0.18273185439560355,0.00018168517969716324,0.004512781389415007,0.0060296466453767725,0.08622833861783025,0.07844921002938239,0.07539035841864834,2172.203199251835,42.0,207.98159432184207,0.2456140350877193,4.421052631578949,0.04698505543310201,0.017333083818583804,1.22602354597037,0.02840963887912943,0.002075692104779564,0.06716294458229942,7.126922402724349e-05,0.004913384767698448,0.08622833861783025,0.06469842627927969,0.07539035841864834,0.06716294458229942,214.28919346961845,42.0,207.98159432184207,0.2456140350877193,4.421052631578949,0.4578812380119453,0.17935981596651115,0.22441401562121832,0.07431207190919355,0.07148916213007893,0.09272216530648,0.006991725040276152,0.08622833861783025,0.0807911267944129,0.07539035841864834,0.07093597067135374,4.971293749990117,42.0,207.98159432184207,0.2456140350877193,4.421052631578949,19.502849122807,6.973253690237229
p3 FM6 flower 1,0,13696,6.0,0.4,0.00900284907404695,0.02816474731043055,0.11992181375000033,0.006484501646870356,0.08452589262596448,0.07314329054140394,0.05749473557702243,0.02854210951868756,39.74404761904764,38.0,188.92502356733345,0.2794117647058824,4.470588235294118,2.176470588235294,0.98848548564192,0.16150198659756992,0.23715054209397435,0.00019259949806155847,0.009640087051507764,0.007538874446921305,0.08452589262596448,0.08663855246669849,0.05749473557702243,1855.090294531209,38.0,188.92502356733345,0.2794117647058824,4.470588235294118,0.047482862370466034,0.02183264219411426,3.0494363160687312,0.034425221602206325,0.0023439517454622834,0.003556658395368073,0.0007644814947830237,0.009643847643386374,0.08452589262596448,0.09477332874179803,0.05749473557702243,0.003556658395368073,198.35783097795243,38.0,188.92502356733345,0.2794117647058824,4.470588235294118,0.4470490571193017,0.2231392797759112,0.1972433191456565,0.07256263714116043,0.07712203174427289,0.11120225628325583,0.006410608835135797,0.08452589262596448,0.07129844448829781,0.05749473557702243,0.07804928746208989,5.07047469589303,38.0,188.92502356733345,0.2794117647058824,4.470588235294118,18.47622794117646,8.738056054203879
p3 FM6 flower 1,0,13704,7.0,0.3333333333333333,0.009540585979453859,0.14639715151837124,0.1594891038818274,0.007376977235232266,0.09906754106544943,0.11340311472567348,0.16196546606988035,0.1438859092996514,43.50919913419915,57.0,296.80189482036684,0.1753846153846154,4.384615384615385,2.563076923076923,0.5151078965035399,0.14688903034985293,0.15878662713317387,0.00019319009396130048,0.093679548348216,0.0066163362947586355,0.09906754106544943,0.11133756029956207,0.16196546606988035,2324.3897369960987,57.0,296.80189482036684,0.1753846153846154,4.384615384615385,0.05079826434670996,0.01041893128898585,2.134163492162472,0.026106041806639897,0.0023975563546644817,0.07138130686517784,0.0035113019227902237,0.00752962370017233,0.09906754106544943,0.12850837957838626,0.16196546606988035,0.07138130686517784,206.64783924607246,57.0,296.80189482036684,0.1753846153846154,4.384615384615385,0.5468074788678138,0.1223018653592852,0.18434109886063066,0.0787342648542886,0.1128780435349254,0.2803030588014046,0.008727412799214044,0.09906754106544943,0.125463626021065,0.16196546606988035,0.11299843189964155,5.147312843105184,57.0,296.80189482036684,0.1753846153846154,4.384615384615385,23.22434030769231,4.7926655456474165
p3 FM6 flower 1,0,13705,6.0,0.4,0.009313460022778379,0.08311146809671449,0.15017922333961667,0.00639326908522021,0.0906120299854186,0.09158337343308648,0.1189164201815121,0.08163771240390028,42.530158730158725,50.0,257.7327480713416,0.1976284584980237,4.3478260869565215,2.4426877470355732,0.5758897064464508,0.1214785794902318,0.1837974698535242,0.00018760123013602216,0.02545449192681685,0.005794022110446506,0.0906120299854186,0.09099198373374344,0.1189164201815121,2280.560645493808,50.0,257.7327480713416,0.1976284584980237,4.3478260869565215,0.04767709437737006,0.011371789091629869,1.8787954912332283,0.029816397916470026,0.0023440613878655,0.12109181141439206,0.009093851806309993,0.006330956967986463,0.0906120299854186,0.09521029289385048,0.1189164201815121,0.12109181141439206,215.6567752360421,50.0,257.7327480713416,0.1976284584980237,4.3478260869565215,0.5032955683586654,0.14327382508433925,0.22786587600210426,0.07672568750401106,0.0782520794617569,0.2765309949789502,0.006965164278696982,0.0906120299854186,0.0926593880572838,0.1189164201815121,0.0782964571271023,5.101463760098629,50.0,257.7327480713416,0.1976284584980237,4.3478260869565215,22.654109090909106,5.60721872592066
p3 FM6 flower 1,0,13707,5.0,0.5,0.008495374792579372,0.009328376058387329,0.10422963534666746,0.005521920742566877,0.07787841930020037,0.05556877862178833,0.03640828651333556,0.00881530377213953,37.99404761904771,37.0,181.63620605048405,0.2720588235294117,4.352941176470588,2.1838235294117645,0.9154162499968936,0.13213152373860973,0.2993683853681611,0.00018389341507275264,0.006278041610319431,0.006108876218701226,0.07787841930020037,0.06413974277171396,0.03640828651333556,1738.9397184375828,37.0,181.63620605048405,0.2720588235294117,4.352941176470588,0.05136887228931583,0.02187979236498717,1.0495946390901465,0.040549694632288,0.001961258599668341,0.05227460711331679,0.00024273858684151068,0.0038812357399232826,0.07787841930020037,0.041232909333514776,0.03640828651333556,0.05227460711331679,205.51265081710176,37.0,181.63620605048405,0.2720588235294117,4.352941176470588,0.4479266151518516,0.2143749977811332,0.2473817119746177,0.0664035200092482,0.10234131012356816,0.08622231771790673,0.005035473543315183,0.07787841930020037,0.046238542999230615,0.03640828651333556,0.10174084987593053,5.162692717189113,37.0,181.63620605048405,0.2720588235294117,4.352941176470588,18.22165147058825,7.589104111225268
