Label,Value,Area (ÂµmÂ²),Center_X,Center_Y,Center_Z
474,0,24.291,8.00882,15.8797,-3.50602
58,0,26.2926,-29.2949,24.0815,-4.657769999999999
570,0,27.6318,-29.2126,14.0613,-6.25012
314,0,23.5635,-16.9594,3.19092,-8.76866
186,0,21.7376,-20.9422,-5.775919999999999,-13.4318
698,0,21.4579,-33.9298,65.6642,-7.0136199999999995
442,0,27.234,-48.9761,60.7556,-6.9593
506,1,24.3286,-57.2027,42.8846,-14.873
6,0,35.0504,36.2816,18.6437,-7.33283
262,0,27.3096,11.8096,77.7274,-4.85389
134,1,23.8081,-26.4771,94.8338,-16.1712
646,0,19.0727,-55.5244,23.0356,-14.2718
390,0,13.6684,5.5323400000000005,3.85226,-7.41057
70,0,21.7577,9.701830000000001,-19.5088,-12.1631
582,1,11.8994,-17.0447,-17.6233,-18.4015
326,0,17.4659,-16.7825,29.7464,-3.09305
198,0,20.9891,10.5682,42.8221,-0.107418
454,0,33.6575,-11.2176,12.1878,-5.01674
550,0,32.5896,-4.55882,66.1559,-1.92583
166,0,24.1443,-22.9606,82.0873,-8.79626
678,0,21.3936,-28.2161,40.1203,-2.73509
422,0,38.6501,37.2985,48.995,-3.84009
102,0,19.7495,0.575805,40.6194,-0.9914360000000001
230,0,22.6453,-49.3298,40.7972,-10.0601
534,1,19.8307,-51.2547,71.668,-3.63591
278,0,26.3678,15.1405,9.90053,-5.09923
150,0,23.0326,0.501915,45.6573,-0.741627
662,0,28.7024,32.4058,48.2247,-2.6204099999999997
86,1,31.2036,22.9614,93.0445,-10.3815
598,0,46.6497,-33.5981,86.8174,-7.854480000000001
342,0,19.4254,-17.9963,85.7086,-10.2727
470,0,24.236,18.793,38.8371,-0.21560300000000002
54,0,35.8915,-48.9409,64.6933,-5.11751
566,0,15.659,-1.68585,6.13416,-6.139880000000001
310,0,14.5282,-17.0213,-6.433,-13.0685
182,0,28.7072,28.8618,59.9583,-2.50624
694,0,18.3837,25.0908,-5.67885,-12.1524
118,0,15.2287,-0.194303,24.3661,-2.09922
374,0,20.4985,40.884,33.1438,-7.9419
246,0,17.6973,-51.0185,47.5253,-11.7334
14,0,11.9169,-32.8445,32.4289,-4.3598099999999995
270,1,30.8395,30.7085,0.664991,-11.9535
78,0,25.8308,7.50415,-6.435219999999999,-10.3771
590,1,44.1059,-58.9578,37.2328,-16.7928
206,0,20.6107,-5.6483300000000005,35.9697,-1.59771
462,0,25.5043,-9.303510000000001,39.1237,-1.45531
46,1,52.9657,39.304,75.4547,-9.33371
174,0,27.076,-11.6743,72.7818,-3.43589
686,1,5.99569,45.5178,20.7006,-12.4653
110,0,25.3109,-3.4905699999999995,-17.4823,-12.9134
622,0,12.6768,14.0536,2.1404099999999997,-8.78427
366,0,24.5693,-13.7234,-2.70894,-10.9338
494,0,23.6882,-37.8234,43.1577,-5.04565
30,0,20.6473,-31.1115,83.26299999999999,-8.261989999999999
542,1,20.6441,-55.9652,48.303999999999995,-13.5111
286,0,26.7235,-19.2764,88.7445,-12.3753
158,0,24.6407,-24.6902,52.6464,-1.90812
670,0,21.3742,45.3574,29.2593,-10.62
414,0,26.1545,16.9907,79.8402,-5.5176099999999995
350,0,22.9359,32.6267,57.0574,-2.752
222,0,19.365,-1.12919,-5.24262,-10.3467
478,0,20.057000000000002,27.3604,4.2076199999999995,-9.60945
574,1,13.4509,-40.9373,10.0874,-10.5603
318,0,45.3467,-44.9296,73.3103,-3.41934
190,0,21.7523,-21.7598,2.69495,-9.77947
702,0,29.5662,-44.7659,51.0727,-8.56897
446,0,18.9042,33.8098,38.1246,-3.44865
126,0,27.1047,8.088389999999999,63.2767,-2.02498
382,0,21.37,-13.7076,52.6305,-1.28905
254,0,23.0736,8.69822,75.3116,-4.3782
510,0,12.5384,-33.6773,7.65503,-9.72514
513,1,32.3857,-7.64399,88.6154,-10.6969
257,0,8.95776,26.0053,37.2471,-1.3220399999999999
129,0,9.002189999999999,-27.3668,85.9285,-10.2923
385,1,22.8115,46.6214,58.705,-10.6564
65,0,26.7517,3.2570200000000002,-22.076,-12.9999
321,0,27.8262,34.4707,62.582,-4.5060199999999995
193,0,17.6923,-21.4784,19.8883,-4.10136
449,0,15.0685,16.4048,-0.339938,-9.763910000000001
33,0,14.759,26.1442,74.7063,-6.4227
545,0,15.8824,43.7615,37.2605,-8.66675
289,0,35.41,17.8507,4.50116,-7.919989999999999
673,1,8.726510000000001,-33.4134,2.24824,-10.9255
417,0,12.2627,24.2231,71.5443,-5.538119999999999
97,0,14.408,-25.5525,3.05268,-10.4445
353,0,33.9552,32.3994,86.0819,-9.63279
225,0,33.3719,40.9116,22.8777,-9.09247
481,0,16.034000000000002,-7.51403,-10.3894,-12.3879
529,0,16.2605,20.7889,0.300608,-9.923210000000001
273,0,20.1581,-18.7375,43.0641,-1.33759
145,0,30.4805,-23.3178,7.39744,-8.14599
657,0,15.1379,16.3395,65.2589,-3.10662
401,0,16.5395,39.4281,18.0403,-9.05546
337,0,20.9568,27.8588,79.58,-7.190589999999999
209,0,30.2505,-2.93529,57.6299,-1.01865
465,0,31.1323,-9.48069,59.3426,-1.24617
49,0,22.2166,-36.5965,82.0281,-5.24835
305,0,37.8288,13.5464,87.6816,-7.166760000000001
177,0,12.8981,10.3094,11.447000000000001,-4.58956
689,0,14.7354,0.7015680000000001,54.1295,-0.9199209999999999
113,0,36.0183,-26.4463,47.797,-1.7140400000000002
625,1,11.8358,28.2265,-4.2377,-12.7027
369,1,40.391,37.8216,82.6785,-10.378
241,0,28.1735,5.12213,12.6152,-4.25671
9,1,17.9181,49.2772,55.3553,-11.6959
265,0,27.8686,-18.5605,22.5115,-3.65879
137,0,18.6529,9.01192,87.0519,-7.29505
393,0,14.0778,-37.213,10.4164,-9.50685
73,0,30.3195,-42.6687,22.491,-7.1407300000000005
585,1,51.953,-2.01918,-30.3078,-20.601999999999997
201,0,11.5378,29.2461,75.0635,-6.79663
457,1,26.3414,-62.3629,25.0359,-20.461
41,0,33.8998,36.6736,41.8991,-4.05807
553,0,22.1696,-51.6276,18.7258,-12.5461
297,0,28.0195,2.55052,7.166239999999999,-5.69135
169,0,25.6906,-24.3114,85.5272,-10.4734
681,1,6.28285,-56.5536,60.3954,-7.7969
425,0,22.9169,-11.5041,44.5877,-1.11897
105,0,14.4741,-26.0358,27.4227,-4.05259
361,0,28.9812,35.4071,53.9433,-3.3908300000000002
233,0,21.1929,1.97658,21.4331,-2.25033
537,0,18.281,-35.4807,47.1891,-4.18464
281,0,41.8971,42.3443,54.3784,-7.212039999999999
153,0,24.7792,-22.4582,31.8114,-3.35811
665,1,15.2576,50.6984,51.0682,-11.7147
409,0,26.0621,25.0293,67.3249,-4.31228
89,0,19.6369,-1.52063,37.1645,-1.1091
601,1,57.45399999999999,17.9638,90.4647,-8.4599
217,0,25.1625,27.5009,89.8565,-9.893289999999999
569,0,35.7135,19.5724,22.1881,-1.9138400000000002
313,0,12.0419,-15.0777,0.43595100000000003,-9.83704
185,1,16.2932,-18.7549,-12.3664,-15.8051
697,0,32.6303,-45.5185,54.1307,-8.82395
633,1,38.3226,42.3759,69.5112,-9.88873
377,0,22.7158,-13.2498,32.398,-2.4666099999999997
249,0,25.6631,12.6347,-4.684830000000001,-10.1732
261,0,21.9146,-18.1799,13.4859,-4.8520199999999996
133,0,13.0322,-26.6673,15.8361,-5.37654
645,0,81.0732,-56.2457,28.7251,-13.4969
389,0,19.8964,-41.6301,76.5233,-3.6840699999999997
69,0,36.4701,-45.9748,67.7999,-4.35307
581,0,10.7741,-12.5085,-16.4403,-16.0771
325,0,15.1795,-17.725,26.3112,-3.4632699999999996
197,0,12.315999999999999,-21.8565,27.5582,-3.6869
37,0,19.0654,4.565840000000001,83.751,-6.7446399999999995
549,1,27.5238,34.8763,5.23336,-11.8622
165,0,21.1939,-25.3372,74.9988,-6.621060000000001
677,0,24.8467,-26.5743,36.349000000000004,-3.14493
101,0,19.2183,-25.7402,19.2508,-4.66826
357,0,13.9099,-42.6865,49.3564,-7.32848
229,0,10.8859,3.44795,-2.00331,-9.4718
485,0,20.872,-35.8329,51.3727,-4.582990000000001
149,0,13.3769,28.3577,29.1567,-2.15232
661,0,6.26904,29.3365,48.5114,-1.7431400000000001
213,0,31.7462,-1.2601799999999999,-12.9843,-11.765999999999998
469,0,22.4107,-9.27389,81.0425,-6.70361
565,0,28.7514,-1.84733,2.33721,-7.79805
309,0,13.8382,22.4763,-2.59673,-10.8181
693,0,16.6116,-5.80204,12.8483,-4.66246
437,0,23.2747,-48.8897,57.1272,-8.84291
117,0,20.2621,8.00464,57.1379,-1.43311
373,0,17.7593,35.218,70.7261,-7.168539999999999
245,0,29.9939,11.8682,-12.6509,-11.1198
501,1,33.6222,5.29786,-32.3837,-20.6735
13,1,42.0101,-60.8195,30.6297,-18.5485
525,0,15.3018,-6.31326,84.8894,-8.38383
269,0,21.8851,12.2569,6.634339999999999,-6.51754
141,0,23.5322,28.4335,17.5081,-4.7096599999999995
653,1,9.01179,-30.336,-0.6174390000000001,-12.1439
397,1,15.392999999999999,39.5352,86.4155,-13.1014
77,0,19.5658,-29.1065,89.5412,-11.2022
333,0,18.333,-1.4811,77.7205,-4.7447099999999995
205,0,13.343,-5.36485,30.5732,-2.26004
45,0,16.1563,-51.6461,50.8514,-11.6362
557,0,13.2324,-18.0271,49.533,-1.3718
301,0,25.9583,21.5596,47.351000000000006,-0.590746
173,0,27.6886,-15.495999999999999,57.4408,-1.7529299999999999
685,0,11.4094,-31.9713,64.8715,-6.219469999999999
429,0,40.3702,-0.198006,-27.0591,-16.1502
109,0,34.8781,8.16248,47.2071,-0.199803
365,0,25.4874,38.3719,28.8864,-6.82103
493,0,30.1173,-1.82152,10.3802,-4.870340000000001
29,0,26.1357,4.13466,72.8479,-3.3699
285,0,22.9025,13.0622,38.0456,-0.256171
157,1,17.8622,-19.67,92.917,-15.3266
669,1,34.5272,49.2106,37.3405,-9.83688
413,1,10.1054,45.3999,63.7181,-10.8142
221,0,26.2917,-45.8566,33.2075,-7.629630000000001
477,0,26.3321,-5.22347,-25.2223,-16.9102
61,0,26.884,-46.4324,45.6057,-9.060039999999999
573,1,20.2052,-42.5583,13.0274,-10.3589
317,0,17.7126,-16.6557,9.93644,-6.06532
189,0,10.0057,-9.99392,-8.62668,-12.5431
701,0,19.3586,-38.3345,58.303000000000004,-6.6123
445,0,18.9081,-9.96665,-20.6742,-16.8372
125,0,14.2084,-28.0991,81.4582,-8.50692
637,1,21.0367,-2.00858,87.4325,-9.26318
381,0,31.5497,-15.1321,46.9058,-1.07695
253,0,17.4206,9.16184,36.0108,-0.52584
509,0,18.2954,-6.76876,73.1124,-3.4220800000000002
3,0,22.0331,26.5042,45.8425,-1.2234200000000002
515,1,20.2739,43.4694,17.1375,-11.9807
131,0,9.60465,-28.1778,0.163657,-11.8956
67,0,25.9946,35.9435,25.7986,-5.7356
579,1,10.2797,-22.6991,-7.7934399999999995,-14.1892
323,0,16.9715,24.8463,2.2375,-9.79312
195,0,23.5252,-6.57061,-21.816999999999997,-15.3157
707,0,32.7442,9.84442,1.9994299999999998,-8.55532
451,0,27.2155,-7.38472,1.8485599999999998,-8.25145
35,0,28.0428,6.965560000000001,80.9829,-5.3215699999999995
547,0,17.2015,21.2969,36.0272,-0.709232
291,0,22.21,13.2781,55.7205,-0.9989819999999999
163,0,23.9861,-23.1822,73.1572,-5.12212
675,0,10.6451,-35.9542,6.37655,-10.1945
419,0,19.6035,-10.8575,6.87667,-6.8068800000000005
355,1,31.7917,15.6219,-17.6483,-12.4777
227,0,13.0437,0.660196,74.0422,-3.43966
483,0,13.4213,-6.20726,-6.7733300000000005,-11.2069
19,0,25.2111,-51.7637,43.7885,-11.7898
531,0,21.919,22.1851,60.3886,-2.09105
275,0,27.3354,13.6208,27.073,-0.790864
147,0,31.8152,-22.3801,11.027999999999999,-6.1898599999999995
659,0,16.7346,14.7278,72.3589,-4.46052
83,0,19.1585,5.70823,-11.4421,-10.8841
595,1,30.2797,-47.1472,79.8433,-3.26756
339,0,29.5583,31.5744,14.7539,-6.848610000000001
211,0,27.6559,27.2149,84.6112,-7.9934
467,0,27.2705,-8.92787,68.8844,-2.62703
51,0,16.7302,-28.8238,5.469040000000001,-9.92475
307,0,19.7675,32.0139,30.2984,-3.3852
179,0,21.1569,-11.5212,2.08051,-8.829939999999999
691,0,34.4453,-4.21568,17.61,-3.36246
435,0,16.891,-37.2481,33.05,-5.344069999999999
115,0,12.5412,-26.7879,57.1453,-2.92709
371,0,26.3021,3.3263,49.9598,-0.790795
499,0,35.4817,-6.9651,45.531000000000006,-0.9653079999999999
11,0,16.3165,-30.9461,3.40955,-10.8154
523,0,21.7012,19.8279,-7.49452,-11.3897
139,1,22.3937,9.507660000000001,91.0602,-9.603539999999999
587,1,36.953,6.168819999999999,-29.8889,-16.7996
331,0,35.9187,-16.0441,39.2569,-1.5959
459,0,16.8457,-8.57157,32.7154,-2.21802
43,0,32.2189,-54.297,38.2693,-13.1244
555,0,21.3597,-3.5741300000000003,82.1967,-6.52003
299,0,29.1737,41.2581,63.5914,-7.94345
171,0,20.4518,-12.2994,19.2673,-3.42624
107,0,16.1344,4.022130000000001,-14.56,-11.360999999999999
