plant,time point,cell,area
P5,1,949,30.5255
P5,1,950,41.0879
P5,1,952,23.8837
P5,1,954,33.4187
P5,1,955,29.0026
P5,1,967,43.9836
P5,1,968,30.8553
P5,1,979,19.7546
P5,1,982,36.9598
P5,1,996,37.2353
P5,1,997,44.2817
P5,1,998,38.0107
P5,1,999,45.1376
P5,1,1000,28.612
P5,1,1001,37.7843
P5,1,1002,27.8977
P5,1,1003,46.1722
P5,2,400,33.749
P5,2,468,40.8078
P5,2,490,35.0975
P5,2,501,32.7565
P5,2,508,26.6654
P5,2,516,49.856
P5,2,544,36.5489
P5,2,558,38.0665
P5,2,567,27.3163
P5,2,580,27.9077
P5,2,589,30.939
P5,2,646,40.7176
P5,2,650,22.5352
P5,2,655,20.8657
P5,2,692,33.9812
P5,2,694,29.9387
P5,2,698,44.7261
P5,2,702,32.8664
P5,2,705,30.3367
P5,2,708,26.7098
P5,2,712,25.3349
P5,2,740,29.9007
P5,2,755,33.8359
P5,2,757,45.4759
P5,2,771,48.2635
P5,2,773,45.6064
P5,2,778,31.4338
P5,2,817,29.2603
P5,2,825,31.1031
P5,2,829,40.523
P5,2,836,60.3985
P5,2,847,25.2731
P5,2,848,32.2763
P5,2,854,19.2144
P5,2,859,30.6615
P5,2,869,52.2162
P5,2,871,22.952
P5,2,872,31.1756
P5,2,873,29.3915
P5,2,878,28.3117
P5,2,884,22.9373
P5,2,892,33.7108
P5,2,900,47.6306
P5,2,914,51.7517
P5,2,916,34.2215
P5,2,918,44.9545
P5,2,919,43.1017
P5,2,920,31.0597
P5,2,923,40.7074
P5,2,927,55.0306
P5,2,931,40.5989
P5,2,939,23.2838
P5,2,941,28.1934
P5,2,945,24.8016
P5,2,948,48.9138
P5,2,960,37.3515
P5,2,961,25.4339
P5,2,967,53.4542
P5,2,969,28.2366
P5,2,970,30.1474
P5,2,978,45.0036
P5,2,979,48.1649
P5,2,981,29.4575
P5,2,982,40.341
P5,2,983,30.8834
P5,2,984,25.8637
P5,2,985,50.9434
P5,2,986,25.4178
P5,2,991,26.7311
P5,2,992,26.9298
P5,2,1005,38.1171
P5,2,1016,32.9781
P5,2,1017,29.5365
P5,2,1018,44.1984
P5,3,1048,36.4122
P5,3,1049,30.4697
P5,3,1051,30.5505
P5,3,1055,31.5242
P5,3,1063,25.541
P5,3,1067,27.1563
P5,3,1079,32.1331
P5,3,1087,30.1136
P5,3,1089,21.0201
P5,3,1096,40.7557
P5,3,1098,23.5641
P5,3,1100,32.0097
P5,3,1102,26.5824
P5,3,1117,44.9344
P5,3,1118,37.1651
P5,3,1123,38.1145
P5,3,1124,34.0002
P5,3,1127,36.8451
P5,3,1131,26.7052
P5,3,1135,30.0156
P5,3,1136,33.3676
P5,3,1137,26.4396
P5,3,1138,35.3586
