plant,time point,dividing parent cell,parent neighbor,dividingCellArea,neighbourCellArea,sharedWall,distance,dividingCellPerimeter,neighbourCellPerimeter
p3 FM6 flower 1,0,13679,13705,56.6185,49.0783,5.09515,8.516058884983126,108682,81466
p3 FM6 flower 1,0,13657,13306,48.2795,48.3926,6.54695,6.011581130418189,81832,81231
p3 FM6 flower 1,0,13657,13575,48.2795,23.0592,3.92335,7.097173643648574,81832,67481
p3 FM6 flower 1,0,13657,13682,48.2795,48.9191,3.91326,7.9671521622785635,81832,82026
p3 FM6 flower 1,0,13657,13730,48.2795,31.8256,5.9893,6.7556043666277565,81832,80713
p3 FM6 flower 1,0,13657,13766,48.2795,41.6972,3.78421,7.606388884884867,81832,95597
p3 FM6 flower 1,0,13657,13773,48.2795,26.13,7.25874,4.550603795058408,81832,54870
p3 FM6 flower 1,0,13742,13371,44.6728,37.4011,1.92724,8.354223374437625,81789,82055
p3 FM6 flower 1,0,13742,13470,44.6728,29.3957,4.03894,6.350338521685276,81789,68179
p3 FM6 flower 1,0,13742,13726,44.6728,42.9189,7.82158,5.969315093878025,81789,94950
p3 FM6 flower 1,0,13742,13743,44.6728,45.8795,5.26064,7.022679418854314,81789,68150
p3 FM6 flower 1,0,13742,13748,44.6728,38.4688,5.46489,6.381747856191123,81789,81800
p3 FM6 flower 1,0,13265,13654,49.2493,32.3313,3.12681,7.945887926625946,82154,68068
p3 FM6 flower 1,0,13265,13660,49.2493,57.7194,5.95699,7.300844860509292,82154,81902
p3 FM6 flower 1,0,13265,13670,49.2493,33.1771,3.67662,7.36089555771579,82154,81833
p3 FM6 flower 1,0,13265,13671,49.2493,30.229,7.40301,4.941320266982905,82154,68076
p3 FM6 flower 1,0,13265,13672,49.2493,40.4727,2.58241,8.741656560652565,82154,94921
p3 FM6 flower 1,0,13265,13827,49.2493,38.3836,7.32992,5.655198362073602,82154,81883
p3 FM6 flower 1,0,13708,13317,39.8538,44.591,5.77132,6.233577816222398,67066,81040
p3 FM6 flower 1,0,13708,13327,39.8538,53.6323,5.38618,6.962210268449239,67066,80693
p3 FM6 flower 1,0,13708,13355,39.8538,50.2545,2.28604,8.124979916750565,67066,94546
p3 FM6 flower 1,0,13708,13358,39.8538,41.7649,7.43602,5.785210819702253,67066,81602
p3 FM6 flower 1,0,13708,13709,39.8538,52.2723,6.11102,7.435246484223707,67066,81273
p3 FM6 flower 1,0,13760,13629,29.6585,20.8264,0.393749,6.5457940100189544,82392,68639
p3 FM6 flower 1,0,13760,13739,29.6585,48.0027,3.5931,7.883293224845819,82392,81704
p3 FM6 flower 1,0,13760,13745,29.6585,61.2707,1.50477,9.05456650820767,82392,95905
p3 FM6 flower 1,0,13760,13750,29.6585,38.5683,5.68071,5.305065646869977,82392,96250
p3 FM6 flower 1,0,13760,13762,29.6585,32.5728,6.31181,5.196201051816605,82392,68576
p3 FM6 flower 1,0,13760,13767,29.6585,30.1162,5.9338,5.498610881340852,82392,81797
p3 FM6 flower 1,0,13299,13264,69.7768,76.8289,9.10038,7.524261482460652,80569,94495
p3 FM6 flower 1,0,13299,13300,69.7768,55.5868,4.49984,11.191852894069864,80569,108424
p3 FM6 flower 1,0,13299,13317,69.7768,44.591,10.6333,5.573121089847232,80569,81040
p3 FM6 flower 1,0,13299,13327,69.7768,53.6323,4.24784,9.33664849108608,80569,80693
p3 FM6 flower 1,0,13299,13673,69.7768,50.7572,6.76141,7.980875932634218,80569,80860
p3 FM6 flower 1,0,13299,13688,69.7768,54.835,3.67778,10.368722313231268,80569,81002
p3 FM6 flower 1,0,13749,13371,36.0285,37.4011,0.886672,8.642899283805173,95279,82055
p3 FM6 flower 1,0,13749,13372,36.0285,33.5545,3.41676,7.093448903037226,95279,81674
p3 FM6 flower 1,0,13749,13540,36.0285,26.1758,2.64163,6.794572187415482,95279,95552
p3 FM6 flower 1,0,13749,13743,36.0285,45.8795,8.45394,5.198279859722831,95279,68150
p3 FM6 flower 1,0,13749,13744,36.0285,23.213,5.66832,4.756245874258394,95279,54603
p3 FM6 flower 1,0,13749,13750,36.0285,38.5683,0.874263,7.950865377429053,95279,96250
p3 FM6 flower 1,0,13749,13759,36.0285,36.2983,4.67813,6.613332652180742,95279,68018
p3 FM6 flower 1,0,13747,13390,46.2088,25.3015,7.01174,5.270594838431432,81350,68317
p3 FM6 flower 1,0,13747,13538,46.2088,42.2876,9.45697,4.878614001179021,81350,82366
p3 FM6 flower 1,0,13747,13741,46.2088,22.2397,4.01652,7.325703134962542,81350,67900
p3 FM6 flower 1,0,13778,13728,74.7722,98.9032,7.95731,10.42635104540894,68865,96108
p3 FM6 flower 1,0,13778,13745,74.7722,61.2707,6.26917,8.944595561774491,68865,95905
p3 FM6 flower 1,0,13704,13307,46.4348,33.5831,4.63649,6.665475409818873,95154,68426
p3 FM6 flower 1,0,13704,13330,46.4348,37.4467,3.76453,7.260423984871683,95154,68537
p3 FM6 flower 1,0,13704,13679,46.4348,56.6185,1.97193,9.583855807685138,95154,108682
p3 FM6 flower 1,0,13704,13693,46.4348,31.4282,3.13453,7.355547112764627,95154,81514
p3 FM6 flower 1,0,13704,13705,46.4348,49.0783,9.88274,5.331952063738007,95154,81466
p3 FM6 flower 1,0,13704,13719,46.4348,70.8397,2.07173,11.447604630144241,95154,94588
p3 FM6 flower 1,0,13704,13721,46.4348,87.2162,4.11817,11.521428388008138,95154,122258
p3 FM6 flower 1,0,13345,13331,49.8167,36.8172,5.78736,6.283130433151931,68214,81865
p3 FM6 flower 1,0,13345,13705,49.8167,49.0783,6.73859,7.014325755908413,68214,81466
p3 FM6 flower 1,0,13345,13721,49.8167,87.2162,5.03378,9.159840823944483,68214,122258
p3 FM6 flower 1,0,13345,13726,49.8167,42.9189,4.2086,7.923150748281896,68214,94950
p3 FM6 flower 1,0,13345,13731,49.8167,51.2689,8.84627,6.0108185690469735,68214,81423
p3 FM6 flower 1,0,13663,13629,63.8496,20.8264,5.76427,6.419448987257393,54857,68639
p3 FM6 flower 1,0,13663,13762,63.8496,32.5728,4.97669,7.235756450441097,54857,68576
p3 FM6 flower 1,0,13672,13265,40.4727,49.2493,2.58241,8.741656560652565,94921,82154
p3 FM6 flower 1,0,13672,13307,40.4727,33.5831,6.33709,5.223759248434023,94921,68426
p3 FM6 flower 1,0,13672,13660,40.4727,57.7194,6.17806,7.229054963217872,94921,81902
p3 FM6 flower 1,0,13672,13661,40.4727,67.2798,1.60554,9.020814228998399,94921,81582
p3 FM6 flower 1,0,13672,13671,40.4727,30.229,3.04971,8.427823108291724,94921,68076
p3 FM6 flower 1,0,13672,13678,40.4727,32.1198,2.95377,7.5109111293437625,94921,81926
p3 FM6 flower 1,0,13672,13679,40.4727,56.6185,4.23272,7.974811884903617,94921,108682
p3 FM6 flower 1,0,13355,13326,50.2545,43.6528,2.89968,8.59312431482287,94546,81496
p3 FM6 flower 1,0,13355,13327,50.2545,53.6323,4.16431,8.453323873299787,94546,80693
p3 FM6 flower 1,0,13355,13358,50.2545,41.7649,5.61034,7.242765648673164,94546,81602
