plant,time point,cell,clustering coefficient,information centrality,betweenness centrality,eigenvector centrality,page rank,katz centrality,current flow betweenness centrality,communicability betweenness centrality,load centrality,harmonic centrality,size on 2 neighborhood,abs graph density on 2 neighborhood,rel graph density on 2 neighborhood,avg path length on 2 neighborhood,algebraic connectivity on 2 neighborhood,weighted node degree.1,clustering coefficient.1,information centrality.1,eigenvector centrality.1,page rank.1,katz centrality.1,current flow betweenness centrality.1,communicability betweenness centrality.1,harmonic centrality.1,size on 2 neighborhood.1,abs graph density on 2 neighborhood.1,rel graph density on 2 neighborhood.1,avg path length on 2 neighborhood.1,algebraic connectivity on 2 neighborhood.1,weighted node degree.2,clustering coefficient.2,information centrality.2,eigenvector centrality.2,page rank.2,katz centrality.2,current flow betweenness centrality.2,communicability betweenness centrality.2,harmonic centrality.2,size on 2 neighborhood.2,abs graph density on 2 neighborhood.2,rel graph density on 2 neighborhood.2,avg path length on 2 neighborhood.2,algebraic connectivity on 2 neighborhood.2,weighted node degree.3,clustering coefficient.3,information centrality.3,betweenness centrality.3,eigenvector centrality.3,page rank.3,katz centrality.3,current flow betweenness centrality.3,communicability betweenness centrality.3,load centrality.3,harmonic centrality.3,size on 2 neighborhood.3,abs graph density on 2 neighborhood.3,rel graph density on 2 neighborhood.3,avg path length on 2 neighborhood.3,algebraic connectivity on 2 neighborhood.3
p3 FM6 flower 3,2,20925,0.2857142857142857,0.0052968561587004,0.1191459983288746,0.1258404498727648,0.0046215719952509,0.0749315665032997,0.0973743381365034,0.128778613105344,0.1143451062288135,59.17918470418488,52.0,0.2055335968379446,4.521739130434782,2.442687747035573,0.6243703755230632,0.1753398589521721,0.1192209402665603,0.0001274178071787,0.0003560762811422,0.0040560739418828,0.0749315665032997,0.0925928788944729,0.128778613105344,2618.782124748101,52.0,0.2055335968379446,4.521739130434782,0.0567404632514078,0.0151887994672857,3.486753429488708,0.0106205541302855,0.0015886077544695,5.36320013749357e-06,0.0054514447845866,0.0749315665032997,0.1448128204263852,0.128778613105344,275.10151527374416,52.0,0.2055335968379446,4.521739130434782,0.530177627133528,0.1466543753307729,0.8093855836274862,0.0595627645891216,0.0006745011754649,0.1942446043165467,0.0001823579628083,0.003893692868529,0.0749315665032997,0.0867203264406294,0.128778613105344,0.1942446043165467,559.2227010849166,52.0,0.2055335968379446,4.521739130434782,0.2567576975199821,0.07091878973223
p3 FM6 flower 3,2,20943,0.4,0.0049111563631279,0.0589323666636271,0.08651727999998,0.0035557198648735,0.064706371501429,0.0668204290235073,0.076989552808711,0.0568644881094616,56.47606837606856,48.0,0.2077922077922077,4.363636363636363,2.4285714285714284,0.6471184681471409,0.1857476450025948,0.2102215394946643,0.0001275037203371,0.0074402566525373,0.0038179540563646,0.064706371501429,0.0766797673284304,0.076989552808711,2100.152101995542,48.0,0.2077922077922077,4.363636363636363,0.0670696845158932,0.0186623784477309,3.598628176845832,0.0185835911817131,0.0015038668607244,8.148865567453826e-08,0.0053550057241049,0.064706371501429,0.0972945953067257,0.076989552808711,243.97462960052465,48.0,0.2077922077922077,4.363636363636363,0.5615884674886327,0.169720849124629,0.8519358651105904,0.1050753202456532,0.0006737397071806,0.0204481576029499,0.0043377861444711,0.0036225846927592,0.064706371501429,0.068601483053477,0.076989552808711,0.0204481576029499,461.8786256408338,48.0,0.2077922077922077,4.363636363636363,0.3176407395802418,0.0891550388422735
p3 FM6 flower 3,2,20959,0.3333333333333333,0.0051413727367813,0.0793609606678984,0.1176589219917934,0.004094771917806,0.0694822966339806,0.0814526959115582,0.0991175046374747,0.0786053762221648,58.21727994228011,49.0,0.2121212121212121,4.454545454545454,2.411255411255411,0.615709215738188,0.1617159952230381,0.1417422847824066,0.0001246513398698,0.0001722748165797,0.0037485436530099,0.0694822966339806,0.0805970273038203,0.0991175046374747,2539.5653276713733,49.0,0.2121212121212121,4.454545454545454,0.056368120992049,0.0151458160870957,4.545262801039696,0.0145084127438281,0.0015283163630772,0.0001213102988745,0.0064700120383197,0.0694822966339806,0.0974251511374329,0.0991175046374747,279.14548593741875,49.0,0.2121212121212121,4.454545454545454,0.52073264141393,0.1733481014119769,0.729898381075713,0.0680379713969297,0.0006542379982794,0.0914107423738428,7.401108099871971e-05,0.0035637185178817,0.0694822966339806,0.0745448904781472,0.0991175046374747,0.0914107423738428,543.4079171783758,49.0,0.2121212121212121,4.454545454545454,0.2514829263842075,0.0702936938610037
p3 FM6 flower 3,2,20962,0.3333333333333333,0.0051383805999069,0.1102471844864719,0.0949169761772741,0.0040788123586488,0.0695029033566929,0.0850135368195104,0.1153059080121232,0.1066310899582956,57.7936147186149,49.0,0.2121212121212121,4.454545454545454,2.445887445887446,0.6760015447065086,0.2157512810711086,0.1908926404195177,0.0001324342703876,0.0062284767352606,0.0043586730301287,0.0695029033566929,0.0932840530643835,0.1153059080121232,2215.207648022709,49.0,0.2121212121212121,4.454545454545454,0.0697291487774187,0.0202488646057558,3.166201679926746,0.0140816367208972,0.0015230892429912,1.4071511189321172e-06,0.0049676078714209,0.0695029033566929,0.1079500852803924,0.1153059080121232,249.16400803428968,49.0,0.2121212121212121,4.454545454545454,0.5591229389565553,0.1620614001614164,0.9349347202796268,0.0887753405198846,0.0006946243778053,0.1291096155333797,0.003458238368747,0.00395115079788,0.0695029033566929,0.0812809231714054,0.1153059080121232,0.1291096155333797,482.7370272449408,49.0,0.2121212121212121,4.454545454545454,0.3176277917451746,0.0947220160727803
p3 FM6 flower 3,2,20964,0.5,0.0045535124825411,0.0164972510794514,0.0634304079147676,0.0030589523851338,0.0577549597528515,0.0467897773535231,0.037944181443892,0.0180965330488742,53.95030802530823,39.0,0.2549019607843137,4.333333333333333,2.2287581699346406,0.8189727313053715,0.1792717060546141,0.302971929129067,0.0001230060287411,0.0089073273964907,0.0036598879910518,0.0577549597528515,0.0602840012516921,0.037944181443892,2040.4846169428115,39.0,0.2549019607843137,4.333333333333333,0.063378665296723,0.0242198199297046,2.357379339918549,0.0228283472008699,0.0013336454252917,6.850750229031942e-07,0.0037329535980745,0.0577549597528515,0.0455346407383348,0.037944181443892,241.55417283131223,39.0,0.2549019607843137,4.333333333333333,0.5231535743774575,0.2237143183889199,0.8508968397829377,0.1462485895011383,0.0006533720367199,0.0079678192929527,0.0055884145855617,0.0035280967970203,0.0577549597528515,0.0562385333045197,0.037944181443892,0.0079678192929527,419.2365353963221,39.0,0.2549019607843137,4.333333333333333,0.2947908027139813,0.1142319926057001
p3 FM6 flower 3,2,20971,0.4,0.0049117103857356,0.0548420588602534,0.0886055175480144,0.0035736300592449,0.0629532587072184,0.0644102296260451,0.0711996370431068,0.0544705037323814,56.93351370851386,42.0,0.2456140350877193,4.421052631578948,2.298245614035088,0.8331144161916096,0.1604444036488742,0.1985644312171012,0.0001238558234022,0.0015013780486335,0.0035104509180663,0.0629532587072184,0.0664285421159472,0.0711996370431068,2300.4987399005527,42.0,0.2456140350877193,4.421052631578948,0.0639540724108745,0.0243616636763102,1.4271963109927943,0.0143616769561149,0.0012929648754408,3.2758816562680023e-06,0.0026752829164921,0.0629532587072184,0.0492841241614734,0.0711996370431068,260.8481303996285,42.0,0.2456140350877193,4.421052631578948,0.5391724898633337,0.2249734297048307,0.7428427720695441,0.0928877955093125,0.0006552282974139,0.0744178850468012,0.0007692705105151,0.0034209985556146,0.0629532587072184,0.0657680327511952,0.0711996370431068,0.0744178850468012,484.4650262577845,42.0,0.2456140350877193,4.421052631578948,0.2802843769059384,0.1027435531738353
p3 FM6 flower 3,2,20982,0.5,0.0046061256307544,0.023248109059622,0.0894619284548526,0.0030588156577164,0.0577430644658924,0.0465931962454322,0.0393713381477021,0.0271526289242152,55.70869408369421,39.0,0.2549019607843137,4.333333333333333,2.215686274509804,0.8393880857622152,0.1259268112329222,0.2232943486544664,0.0001134538660957,4.675412740504908e-05,0.0030264054671832,0.0577430644658924,0.0483357124333423,0.0393713381477021,2355.31954539097,39.0,0.2549019607843137,4.333333333333333,0.0516964415556039,0.0204156119950628,1.2017998655890183,0.0195498372699118,0.0011683123818254,3.670677748703096e-05,0.0022918762186376,0.0577430644658924,0.0267618221265257,0.0393713381477021,281.57546943876406,39.0,0.2549019607843137,4.333333333333333,0.4720204124525384,0.2475781234525782,0.592445881224954,0.1070427230223295,0.0006000711809004,0.0016502926690905,2.23705539949283e-05,0.0029528551619968,0.0577430644658924,0.0487482224790499,0.0393713381477021,0.0016502926690905,476.1325418961125,39.0,0.2549019607843137,4.333333333333333,0.2349638064032884,0.0984310242281602
p3 FM6 flower 3,2,20983,0.4,0.0048931122830072,0.0705715194791478,0.0875054930726612,0.0035753572021886,0.0628414632374717,0.0638502131090032,0.0698680256039314,0.0734318438363587,56.80000000000015,42.0,0.2456140350877193,4.421052631578948,2.304093567251462,0.794981481988563,0.1722256376171981,0.2007743792168811,0.0001246694677816,0.0006463929843518,0.0038451924920383,0.0628414632374717,0.0730860700884512,0.0698680256039314,2310.2827512664544,42.0,0.2456140350877193,4.421052631578948,0.0599519197138972,0.0206031561409922,1.6769106152944049,0.0145764015637955,0.0013350862160187,9.106823464536358e-05,0.0030636543686511,0.0628414632374717,0.0563947469910402,0.0698680256039314,260.75093869382766,42.0,0.2456140350877193,4.421052631578948,0.520515159512502,0.2049200701495321,0.7437126301036187,0.093882253830148,0.0006508173518452,0.0507207137515793,0.000314340997904,0.0034724931381486,0.0628414632374717,0.0655987341514275,0.0698680256039314,0.0507207137515793,482.744761614694,42.0,0.2456140350877193,4.421052631578948,0.2720275764477027,0.097063632595767
p3 FM6 flower 3,2,20985,0.4,0.0049260210160645,0.0906323906257501,0.0830220220024514,0.003557575799234,0.0636490996511436,0.0686058395274069,0.0842927785936153,0.0943986110922187,57.47085137085156,44.0,0.231578947368421,4.4,2.363157894736842,0.7536257201119809,0.1926850530046604,0.2239297565837196,0.0001282647659367,0.0021774958804203,0.0041205999161126,0.0636490996511436,0.0829009673616655,0.0842927785936153,2234.375182863185,44.0,0.231578947368421,4.4,0.0643459602654505,0.0211058820792747,1.75053907245146,0.0155901322442429,0.0013622608181998,1.553871679905201e-05,0.0031995564339656,0.0636490996511436,0.066327244848564,0.0842927785936153,244.03478261005736,44.0,0.231578947368421,4.4,0.5434032173064586,0.1804408882619623,0.8288344110559412,0.1015177717029148,0.0006699766295547,0.0249348907970397,0.0011655454567796,0.0036821037019263,0.0636490996511436,0.0723141171185393,0.0842927785936153,0.0249348907970397,474.2870109387951,44.0,0.231578947368421,4.4,0.2968845346880013,0.0953279173693904
p3 FM6 flower 3,2,20986,0.4,0.0048726287272779,0.0739336091450414,0.075153332773492,0.0035631631590315,0.0640981354152643,0.0673429993006369,0.0766935009284226,0.076551575778433,56.239754689754896,46.0,0.219047619047619,4.380952380952381,2.4,0.6817662448950611,0.2095192190438641,0.2314581725059766,0.0001288163044887,0.004719170196212,0.0043957612122852,0.0640981354152643,0.0864037867413871,0.0766935009284226,2138.318721168925,46.0,0.219047619047619,4.380952380952381,0.063979408834463,0.0186874322472498,2.560751273344521,0.0178139632218175,0.0014621694331483,3.894282376088505e-06,0.0041074862431041,0.0640981354152643,0.0876643663950435,0.0766935009284226,236.22898545059653,46.0,0.219047619047619,4.380952380952381,0.5382037516260757,0.1827544721688203,0.8816999617533003,0.108107545001417,0.0006723024416734,0.0916428147804337,0.0028107188974222,0.0037634475636864,0.0640981354152643,0.0720156666139009,0.0766935009284226,0.0916428147804337,462.3296578940316,46.0,0.219047619047619,4.380952380952381,0.3042256913934053,0.0909661015351655
p3 FM6 flower 3,2,21006,0.4,0.004870434331351,0.0556229637829195,0.073569211307703,0.003561387698838,0.0641643412988886,0.0692177215328717,0.0768461766722216,0.0516911639682333,55.37150072150092,46.0,0.219047619047619,4.380952380952381,2.4095238095238094,0.700064447430162,0.1534556858850573,0.1842942371922036,0.000121133783592,0.0012497881825862,0.0035771452761755,0.0641643412988886,0.0722205597234181,0.0768461766722216,2391.9556581607308,46.0,0.219047619047619,4.380952380952381,0.0579488409001196,0.0170764167871775,1.7592657512549914,0.0133016175501389,0.0013313746180333,2.0657251321498472e-05,0.0032889542363628,0.0641643412988886,0.0666242956801332,0.0768461766722216,266.9171445932724,46.0,0.219047619047619,4.380952380952381,0.5100250618715263,0.1597638346766453,0.7888094264064639,0.0963473349971849,0.0006549791250825,0.0378278022743095,0.0008445270002201,0.0035662018249639,0.0641643412988886,0.0708869055856756,0.0768461766722216,0.0378278022743095,469.59738679431416,46.0,0.219047619047619,4.380952380952381,0.291726490424345,0.0860440698961196
p3 FM6 flower 3,2,21017,0.5,0.0045641369405829,0.015778398037116,0.0782091213958045,0.0030587567788643,0.0574264304444791,0.0459369360639805,0.0344373358955234,0.0169703393588252,54.44051226551247,39.0,0.2549019607843137,4.333333333333333,2.235294117647059,0.8794580930655488,0.1331776533701318,0.2352902456943071,0.0001140730823206,5.20804153669844e-05,0.0031691965570283,0.0574264304444791,0.0500718197707129,0.0344373358955234,2269.868153272624,39.0,0.2549019607843137,4.333333333333333,0.0536577143246796,0.0217317980688714,1.128908272126855,0.0165529307561953,0.0011997599611057,0.0033421381678986,0.0020754707791896,0.0574264304444791,0.0389671107149765,0.0344373358955234,277.5464028524008,39.0,0.2549019607843137,4.333333333333333,0.4656294177566725,0.2139473013858602,0.7480173642569312,0.1246730093554658,0.000628652970666,0.0,3.644652503670699e-05,0.0035230372697142,0.0574264304444791,0.0553678930187921,0.0344373358955234,0.0,448.5934203942648,39.0,0.2549019607843137,4.333333333333333,0.248512670748614,0.0999593389048092
p3 FM6 flower 3,2,21018,0.4,0.0048300640945259,0.0374619962700418,0.0841679775675397,0.0035842272965671,0.0626584772359496,0.0609896049655549,0.05591933048185,0.0362701849429017,55.57734487734504,42.0,0.2456140350877193,4.421052631578948,2.304093567251462,0.794981481988562,0.1606016323286767,0.1911444840717445,0.0001209555597915,0.0001886514545345,0.0037076983217326,0.0626584772359496,0.0671334704890598,0.05591933048185,2358.57912453366,42.0,0.2456140350877193,4.421052631578948,0.0581285291975816,0.0205004204712653,1.7051255060429544,0.0137016214497825,0.0013499317932977,0.0019344709147294,0.0029045055968873,0.0626584772359496,0.062873542594778,0.05591933048185,261.39660637223534,42.0,0.2456140350877193,4.421052631578948,0.504199089824353,0.1982770426658177,0.7967055071876313,0.0997509535779194,0.0006469575753799,0.0230267398984038,0.0001064388130071,0.0037047419823409,0.0626584772359496,0.0642865858074999,0.05591933048185,0.0230267398984038,485.2174688085981,42.0,0.2456140350877193,4.421052631578948,0.2720268860567847,0.0986419800124353
p3 FM6 flower 3,3,21901,0.6666666666666666,0.002399161995399,0.0009248210982116,0.0593762535300953,0.0014839759425678,0.0394835742735634,0.0246659284764257,0.0121678546947235,0.0009385629334805,73.14325119325149,36.0,0.2647058823529412,4.235294117647059,2.125,0.848854336259459,0.1090343223673195,0.1760472017200129,6.621832615764861e-05,1.5397931273854584e-06,0.0014656292355068,0.0394835742735634,0.0241978745067929,0.0121678546947235,2740.086400935228,36.0,0.2647058823529412,4.235294117647059,0.0538425691352127,0.0222841405046631,0.6693322275292595,0.0186000497909537,0.0005843360740186,1.3607248531369636e-07,0.0008519280481558,0.0394835742735634,0.009700598318471,0.0121678546947235,349.3891375609882,36.0,0.2647058823529412,4.235294117647059,0.4861045214819234,0.2603620384420599,0.5376558727887951,0.0527968020378933,0.0003361136447367,0.0,1.619791342402508e-09,0.0015394540333192,0.0394835742735634,0.028569915279162,0.0121678546947235,0.0,601.0782962358203,36.0,0.2647058823529412,4.235294117647059,0.2379619551541714,0.1023689633266426
