Label,Value,Area (micro m^2),Center_X,Center_Y,Center_Z
3354,0,35.8703,-12.0706,-5.56104,17.7021
3482,1,29.6803,-30.8297,-22.2229,9.1408
3290,0,28.9509,12.7099,-37.6062,6.11567
3514,0,27.7281,19.4726,-5.937530000000001,15.8969
3578,0,38.8899,-14.4873,20.2318,15.897
3334,0,36.5959,20.6263,-35.4045,4.8830800000000005
3462,0,28.7043,-35.0734,-24.1567,6.51246
3606,0,19.6798,-7.76355,-2.89206,18.0978
3478,0,28.4751,37.5784,-12.4073,7.438
3542,0,29.2427,19.7717,-28.1959,9.52357
3638,0,41.4207,-6.12181,21.6627,15.8305
3510,0,35.3167,-25.6312,25.781999999999996,9.65702
3574,0,40.9033,22.0312,-31.0448,7.087510000000001
3598,0,44.2894,6.9988,7.31181,18.4118
3470,0,47.9284,38.5803,-25.3331,1.74564
3662,0,36.8754,29.5714,-17.0602,10.1421
3534,0,36.2682,-22.6924,-15.3628,13.9057
3630,0,41.5152,-2.31492,-33.8675,10.6846
3374,0,44.7834,-2.33498,-22.2595,14.9904
3566,0,20.8707,-15.2166,-1.0213700000000001,17.9659
3614,0,36.3923,-6.5194,-38.1705,8.48115
3358,0,42.0171,-9.40205,-11.807,17.0631
3486,0,51.5597,-31.5822,-7.92128,11.2241
3550,0,49.1555,40.093,1.64198,6.31647
3585,1,28.7454,-10.5285,-41.7379,6.37349
3649,0,20.2277,-1.0517100000000001,-5.34122,17.8936
3521,0,30.0127,-24.4575,3.01158,16.1807
3489,0,50.4974,-29.5315,13.242,13.0715
3553,0,37.4547,-19.6163,17.9272,15.7083
3345,0,23.7718,-12.8773,-45.8837,3.19233
3409,0,33.8333,30.6854,22.8954,5.49795
3281,0,31.1042,9.436010000000001,-9.99925,16.9139
3633,0,43.6908,29.0667,-34.1116,1.3118
3377,0,35.9061,8.26867,-34.364000000000004,9.13293
3569,0,26.9758,-15.4164,32.7446,8.822989999999999
3337,0,26.3351,-18.6899,1.35085,17.586
3465,0,42.6414,-35.4392,-10.828,8.05558
3657,0,30.9367,2.9807099999999997,-1.71901,18.2453
3369,0,45.9142,28.4521,-8.72827,12.3292
3353,0,40.9124,-12.9966,-35.4346,9.50123
